NAME,OBJECTID,FID,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Bakerloo,Central,Circle,District,Hammersmith,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo,Liberty,Lioness,Mildmay,Suffragette,Weaver,Windrush,Beckton,Woolwich,Lewisham,Wimbeck,Loop,Elizabeth
Stratford,379,300,538521,184409,n/a,London Overground,3,-0.002307264,51.54107928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,23.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A
Stratford,475,289,538571,184387,n/a,DLR,3,-0.001594174,51.54086921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0500000,6.0500000,12.0700000,N/A,N/A,N/A
Stratford High Street,478,292,538752,184020,n/a,DLR,3,0.000869889,51.53752645,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0400000,6.0400000,,N/A,N/A,N/A
Stratford International,479,293,538128,184761,n/a,DLR,3,-0.007832275,51.54433906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0600000,6.0600000,,N/A,N/A,N/A
Sudbury Hill,8,307,515412,185542,Piccadilly,London Underground,4,-0.335039246,51.55646384,,,,,,,,,11.0600000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sudbury Town,9,308,516875,184890,Piccadilly,London Underground,4,-0.314159662,51.55030341,,,,,,,,,11.0500000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surrey Quays,355,191,535631,178962,n/a,London Overground,2,-0.046055836,51.49282777,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,12.0000000,N/A,N/A,N/A,N/A,N/A,N/A
Swiss Cottage,298,105,526664,184335,Jubilee,London Underground,2,-0.173237239,51.54319998,,,,,,12.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sydenham,347,243,535369,171585,n/a,London Overground,3,-0.052652564,51.42659082,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,17.0000000,N/A,N/A,N/A,N/A,N/A,N/A
Taplow,490,484,,,n/a,Elizabeth Line,n/a,-0.681000000,51.52400000,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,4.0000000
Temple,78,0,530959,180803,"District, Circle",London Underground,1,-0.112643564,51.5104742,,,25.0000000,19.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theobalds Grove,152,464,535936,201110,n/a,London Overground,7,-0.033083485,51.69180047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,13.0300000,,N/A,N/A,N/A,N/A,N/A,N/A
Therapia Lane,405,364,530283,166842,n/a,Tramlink,4,-0.127515047,51.38515495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0000000,,N/A
Theydon Bois,125,428,545542,199101,Central,London Underground,6,0.104967288,51.67133739,,36.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tooting Bec,303,237,528047,172374,Northern,London Underground,3,-0.15763366,51.4353811,,,,,,,,27.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tooting Broadway,302,236,527434,171443,Northern,London Underground,3,-0.166791248,51.42715702,,,,,,,,28.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tottenham Court Road,309,56,529815,181382,"Central, Northern",London Underground,1,-0.128897348,51.51594793,,19.0000000,,,,,,10.0005000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tottenham Court Road,504,498,,,n/a,Elizabeth Line,1,-0.128897348,51.51594793,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.0000000
Tottenham Hale,118,207,534484,189471,Victoria,London Underground,3,-0.058547162,51.58754655,,,,,,,,,,13.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Totteridge & Whetstone,266,345,526120,193989,Northern,London Underground,4,-0.177599794,51.63009248,,,,,,,,10.0900000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tower Gateway,470,66,533706,180834,n/a,DLR,1,-0.073061976,51.51011047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.0000000,,,N/A,N/A,N/A
Tower Hill,83,5,533579,180755,"District, Circle",London Underground,1,-0.074913869,51.50943419,,,20.0000000,24.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tufnell Park,316,117,529149,185860,Northern,London Underground,2,-0.136858377,51.5563398,,,,,,,,10.0200000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Turkey Street,153,448,535121,198870,n/a,London Overground,6,-0.045735795,51.67186641,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,13.0200000,,N/A,N/A,N/A,N/A,N/A,N/A
Turnham Green,247,244,521266,178779,"District, Piccadilly",London Underground,3,-0.252958803,51.494448,,,,5.0000000,,,,,12.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Turnpike Lane,192,219,531513,189638,Piccadilly,London Underground,3,-0.101359413,51.58975112,,,,,,,,,32.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Twyford,488,482,,,,Elizabeth Line,ofz,-0.863000000,51.47600000,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0000000
Upminster,199,435,556146,186868,District,London Underground,6,0.252767235,51.55857711,,,,43.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Upminster,154,449,556108,186859,n/a,London Overground,6,0.25221358,51.55850315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
Upminster Bridge,30,433,555088,186770,District,London Underground,6,0.237476635,51.55798569,,,,42.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Upney,76,327,545846,184254,District,London Underground,4,0.103187503,51.53784406,,,,36.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Upper Holloway,356,192,529776,186621,n/a,London Overground,2,-0.127532858,51.56303879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,2.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A
Upton Park,70,218,541254,183793,"District, Hammersmith & City",London Underground,3,0.036836325,51.53487026,,,,33.0000000,27.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Uxbridge,271,440,505661,184161,"Metropolitan, Piccadilly",London Underground,6,-0.4760666,51.54596187,,,,,,,10.0800000,,11.1400000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vauxhall,113,76,530337,177973,Victoria,London Underground,2,-0.122646146,51.48518446,,,,,,,,,,3.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,110,21,528999,179130,"District, Circle, Victoria",London Underground,1,-0.141485017,51.49588954,,,29.0000000,15.0000000,,,,,,5.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Waddon Marsh,407,409,531090,165897,n/a,Tramlink,5,-0.116278811,51.37647839,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.0000000,,N/A
Walthamstow Central,202,223,537176,188994,Victoria,London Underground,3,-0.019895332,51.58261626,,,,,,,,,,15.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walthamstow Queens Road,357,297,537018,188807,n/a,London Overground,3,-0.022254511,51.58097129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,7.0000000,2.0400000,,N/A,N/A,N/A,N/A,N/A,N/A
Walthamstow St James Street,155,255,536388,188733,n/a,London Overground,3,-0.031370968,51.58045909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2.0300000,,N/A,N/A,N/A,N/A,N/A,N/A
Walthamstow Wood Street,156,350,538493,189407,n/a,London Overground,4,-0.000741221,51.58600285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2.0500000,,N/A,N/A,N/A,N/A,N/A,N/A
Wandle Park,408,410,531414,165512,n/a,Tramlink,5,-0.111770014,51.37293871,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.0000000,,N/A
Wandsworth Road,157,151,529390,176196,n/a,London Overground,2,-0.136926893,51.46943062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,12.0500000,N/A,N/A,N/A,N/A,N/A,N/A
Wanstead,57,316,540673,188254,Central,London Underground,4,0.030247766,51.57509659,,29.0100000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wanstead Park,358,298,540570,185590,n/a,London Overground,3,0.027694662,51.55118604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,10.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A
Wapping,359,193,535023,180174,n/a,London Overground,2,-0.054345515,51.50386599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,9.0000000,N/A,N/A,N/A,N/A,N/A,N/A
